FishID,dataset,mig.bool2,mig.bool,stray.bool2,stray.bool,prbt,old.std.prbt,F1,HybridClasses3,HC3.int,HybridClasses2,HC2.int
PIT_89348,migration,1,1,NA,NA,0.000884956,-0.620277243,NA,WCT,1,WCT/LHyb,1
PIT_89322,migration,1,1,NA,NA,0.014705882,-0.539892648,NA,LHyb,2,WCT/LHyb,1
PIT_89352,migration,1,1,NA,NA,0.292184725,1.073966255,NA,LHyb,2,WCT/LHyb,1
PIT_615205,migration,1,1,NA,NA,0.492766727,2.240581504,NA,LHyb,2,WCT/LHyb,1
PIT_89371,migration,1,1,NA,NA,0.000866551,-0.620384289,NA,WCT,1,WCT/LHyb,1
PIT_89317,migration,1,1,NA,NA,0.000866551,-0.620384289,NA,WCT,1,WCT/LHyb,1
PIT_89389,migration,1,1,NA,NA,0.497076023,2.265645021,NA,LHyb,2,WCT/LHyb,1
PIT_89357,migration,1,1,NA,NA,0.000868056,-0.620375536,NA,WCT,1,WCT/LHyb,1
PIT_10705,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_713541,migration,1,1,NA,NA,0.488486842,2.215689046,NA,LHyb,2,WCT/LHyb,1
PIT_89555,migration,1,1,NA,NA,0.010080645,-0.566793725,NA,LHyb,2,WCT/LHyb,1
PIT_89583,migration,1,1,NA,NA,0.527439024,2.442240825,NA,HHyb,3,HHyb,2
PIT_139530,migration,1,1,NA,NA,0.008802817,-0.574225766,NA,LHyb,2,WCT/LHyb,1
PIT_139463,migration,1,1,NA,NA,0.132326821,0.144208516,NA,LHyb,2,WCT/LHyb,1
PIT_89544,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139781,migration,1,1,NA,NA,0.0606469,-0.272692741,NA,LHyb,2,WCT/LHyb,1
MORT_1_041915,migration,1,1,NA,NA,0.024509804,-0.482871555,NA,LHyb,2,WCT/LHyb,1
PIT_713593,migration,1,1,NA,NA,0.001256281,-0.618117561,NA,WCT,1,WCT/LHyb,1
PIT_713534,migration,1,1,NA,NA,0.49742268,2.267661231,NA,LHyb,2,WCT/LHyb,1
PIT_713566,migration,1,1,NA,NA,0.003891051,-0.60279334,NA,WCT,1,WCT/LHyb,1
PIT_89496,migration,1,1,NA,NA,0.000883392,-0.620286339,NA,WCT,1,WCT/LHyb,1
PIT_713582,migration,1,1,NA,NA,0.478346457,2.156711034,NA,LHyb,2,WCT/LHyb,1
PIT_713619,migration,1,1,NA,NA,0.496742671,2.263706195,NA,LHyb,2,WCT/LHyb,1
PIT_713577,migration,1,1,NA,NA,0.498214286,2.272265331,NA,LHyb,2,WCT/LHyb,1
PIT_89194,migration,1,1,NA,NA,0.343053173,1.369824839,NA,LHyb,2,WCT/LHyb,1
PIT_139422,migration,1,1,NA,NA,0.057093426,-0.293360283,NA,LHyb,2,WCT/LHyb,1
